"DNA no.","Area"
"DD-0682",50.0508
"DD-0683",25.83317
"DD-0684",43.66532
"DD-0686",22.19724
"DD-0688",40.28521
"DD-0690",33.27082
"DD-0691",44.80093
"DD-0694",34.73139
"DD-0695",34.78095
"DD-0697",35.90256
"DD-0699",42.5204
"DD-0700",38.63005
"DD-0701",57.45962
"DD-0702",44.24016
"DD-0703",33.67974
"DD-0704",27.70064
"DD-0706",50.45316
"DD-0707",56.3345
"DD-0710",44.48092
"DD-0715",29.02651163
"DD-0718",40.78903
"DD-0719",37.01561
"DD-0721",57.48461
"DD-0725",35.86307
"DD-0734",45.68439
"DD-0739",45.25206
"DD-0742",30.39534
"DD-0744",35.42315
"DD-0747",34.84507
"DD-0755",44.87764
"DD-0760",35.68893
"DD-0763",39.72275
"DD-0766",43.55876
"DD-0791",67.40504
"DD-0811",30.898
"DD-0840",19.7319
"DD-0842",29.23898
"DD-0851",49.95944
"DD-0853",64.19676
"DD-0870",45.45275
"DD-0873",59.86231
"DD-0879",59.84544
"DD-0880",61.57159
"DD-0893",27.36422
"DD-0894",24.2758
"DD-0897",30.88274
"DD-0898",27.30591
"DD-0900",26.13302
"DD-0906",20.40995
"DD-0914",46.85679
"DD-0915",26.84751
"DD-0931",32.73878
"DD-0935",75.99813
"DD-0937",58.78406
"DD-0942",27.99897
"DD-0947",37.93332
"DD-0961",33.03618
"DD-0967",36.29389
"DD-1036",33.59145
"DD-1037",31.10541
"DD-1045",24.00175
"DD-1061",30.34309
"DD-1064",32.53446
"DD-1066",20.86242
"DD-1077",39.68666
"DD-1113",36.2502
"DD-1125",39.43086
"DD-1129",27.18058
"DD-1140",62.21756
"DD-1141",48.42955
"DD-1152",27.4506
"DD-1153",34.82961
"DD-1154",32.38597
"DD-1161",56.74038
"DD-1200",47.28324
"DD-1209",26.37941
"DD-1218",35.48671
"DD-1219",27.9622
"DD-1221",35.62653
"DD-1224",23.73869
"DD-1226",31.04186
"DD-1232",45.68235
"DD-1234",40.43905
"DD-1238",47.16447
"DD-1252",31.69928
"DD-1257",33.9958
"DD-1294",65.26639
"DD-1304",47.14174
"DD-1305",41.92745
"DD-1306",43.5391
"DD-1308",57.22173
"DD-1310",59.98216
"DD-1323",33.78317
"DD-1329",26.83073
"DD-1334",49.74239
"DD-1348",51.46405
"DD-1355",38.66362
"DD-1358",45.40276
"DD-1371",34.82445
"DD-1374",32.9814
"DD-1377",42.73306
"DD-1385",51.9648
"DD-1388",27.48153
"DD-1389",40.80779
"DD-1390",28.44228
"DD-1391",32.40453
"DD-1392",34.97598
"DD-1393",40.59394
"DD-1394",38.78098
"DD-1395",37.05389
"DD-1396",35.10912
"DD-1397",44.1601
"DD-1398",21.09416
"DD-1399",43.73652
"DD-1404",31.27396
"DD-1428",35.06411
"EE-0003",37.82349
"EE-0006",50.21338
"EE-0015",47.40952
"EE-0026",36.42382
"EE-0035",32.49836
"EE-0052",31.26944
"EE-0056",43.09215
"EE-0058",34.3526
"EE-0066",46.35438
"EE-0080",28.73072
"EE-0085",54.70104
"EE-0089",51.53835
"EE-0090",37.88855
"EE-0098",46.68102
"EE-0134",27.22026
"EE-0168",50.38009
"EE-0169",44.01556
"EE-0183",54.67996
"EE-0199",35.86323
"EE-0203",28.05222
"EE-0205",25.03818
"EE-0206",50.48879
"EE-0209",55.7494
"EE-0211",41.72506
"EE-0219",44.08157
"EE-0239",49.86662
"EE-0272",47.27673
"EE-0274",58.56608
"EE-0289",51.74207
"EE-0301",38.21836
"EE-0304",39.54374
"EE-0316",49.88372
"EE-0331",54.33552
"EE-0386",68.8562
"EE-0397",43.54376
"EE-0407",36.11517
"EE-0428",64.47314
"EE-0434",42.92835
"EE-0443",27.29483
"EE-0448",49.30944
"EE-0499",42.02168
"EE-0520",27.3726
"EE-0540",30.79702
"EE-0553",43.27724
"EE-0556",54.36716
"EE-0558",27.90712
"EE-0560",41.44755
"EE-0583",28.65711
"EE-0590",42.78264
"EE-0591",41.51785
"EE-0593",41.72652
"EE-0595",36.62378
"EE-0598",33.1103
"EE-0607",47.21084
"EE-0608",36.17659
"EE-0613",49.65402
"EE-0615",40.56236
"EE-0623",46.81588
"EE-0628",40.2936
"EE-0634",45.11505
"EE-0651",44.96255
"EE-0653",42.54625
"EE-0655",34.94954
"EE-0660",52.26307
"EE-0664",34.68593
"EE-0670",43.34977
"EE-0698",35.0918
"EE-0700",40.38568
"EE-0705",29.78337
"EE-0712",45.55477
"EE-0717",42.06476
"EE-0732",33.96502
"EE-0743",50.96753
"EE-0754",49.61425
"EE-0770",77.15952
"EE-0782",28.481
"EE-0783",28.12916
"EE-0817",41.81707
"EE-0865",53.06242
"EE-0897",38.45418
"EE-0909",29.03454
"EE-0911",39.29813
"EE-0932",44.66223
"EE-0934",26.19923
"EE-0938",33.57351
"EE-0946",28.79823
"EE-0947",29.10253
"EE-0954",25.73137
"EE-0955",48.32682
"EE-0957",57.39747
"EE-0975",46.90302
"EE-0989",28.87941
"EE-0994",24.95076
"EE-1030",42.70512
"EE-1034",22.77826
"EE-1037",20.46731
"EE-1040",60.26949
"EE-1045",36.31994
"EE-1052",36.28519
"EE-1053",37.65219
"EE-1054",48.74534
"EE-1056",29.15714
"EE-1058",27.27753
"EE-1063",46.37438
"EE-1064",48.30192
"EE-1067",34.51341
"EE-1068",26.71325
"EE-1069",42.64632
"EE-1074",34.59383
"EE-1076",30.09603
"EE-1078",55.98335
"EE-1081",38.40597
"EE-1082",45.91696
"EE-1088",57.30927
"EE-1092",29.20813
"EE-1113",25.83385
"EE-1120",69.58602
"EE-1123",52.27627
"EE-1126",72.59962
"EE-1150",41.6734
"EE-1235",30.20132
"EE-1238",35.23386
"EE-1240",23.83129
"EE-1241",24.22732
"EE-1244",35.52616
"EE-1248",47.28065
"EE-1251",22.41633
"EE-1252",34.79816
"EE-1253",37.27843
"EE-1265",24.36288
"Haman",27.46233
"Hannam",26.28648
"Hekchung",59.2383
"Hwanggm",54.33246
"Josaengsuri",45.77687
"KwangkyoV2",44.31004
"Marshall",48.82719
"Ogden",48.70388
"Peking",27.70471
"PI417329",45.86824
"PI507238",38.76528
"PI548533-1",46.06465
"PI556949",27.3977
"poolnkong2",27.72645
"Poongwon",34.48433
"Saedanbaek",43.24043
"shin1",44.10121
"Shinhwa",30.14671
"Sochung2",35.19289
"Somyung",27.64347
"Sowon",30.94346
"Suritaejung",64.50894
"Taekwang",44.96078
"Wooram",51.9007
"Yemsol",46.18217
"YoenPoong",53.06954
"York",42.39243
